見せる,みせる,to show; to display
半,はん,half; semi- / half-past / odd number / unit of land area (595.8 m^2)
番号,ばんごう,number; series of digits
勉強,べんきょう,study / diligence / discount; reduction
野菜,やさい,vegetable
有名,ゆうめい,famous / fame
来月,らいげつ,next month
緑,みどり,green / greenery (esp. fresh verdure)
毎年,まいとし,every year; yearly; annually
門,もん,gate / branch of learning based on the teachings of a single master / division; phylum / counter for cannons
作る,つくる,"to make; to produce; to manufacture; to build; to construct / to prepare (food); to brew (alcohol) / to raise; to grow; to cultivate; to train / to till / to draw up (a document); to make out; to prepare; to write / to create (an artistic work, etc.); to compose / to coin (a phrase); to organize; to organise; to establish; to found / to have (a child) / to make up (one's face, etc.) / to fabricate (an excuse, etc.) / to give a (false) appearance; to feign (a smile, etc.); to put on a show of emotion / to form (a line, etc.) / to set (a record) / to commit (a sin, etc.)"
両親,りょうしん,parents; both parents
お金,おかね,money
広い,ひろい,spacious; vast; wide
自転車,じてんしゃ,bicycle
窓,まど,window
大勢,おおぜい,crowd of people; great number of people / in great numbers
昼,ひる,noon; midday / daytime / lunch
鳥,とり,bird / bird meat (esp. chicken meat); fowl; poultry
電車,でんしゃ,train; electric train
服,ふく,"clothes (esp. Western clothes) / counter for doses of medicine, gulps of tea, drags of a cigarette, etc."
薬,くすり,"medicine; pharmaceuticals; (legal) drugs; pill; ointment; salve / efficacious chemical (gunpowder, pesticide, etc.) / (pottery) glaze / small bribe"
友達,ともだち,friend; companion
隣,となり,neighbor (neighbour); next to (esp. living next door to)
弟,おとうと,younger brother; little brother; kid brother / pupil; apprentice
お母さん,おかあさん,mother; mom; mum; ma / wife
駅,えき,railway station; train station / staging post on a highway (in pre-modern Japan)
夏休み,なつやすみ,summer vacation; summer holiday
みんな,皆,all; everyone; everybody / everything
休み,やすみ,rest; recess; respite / vacation; holiday; absence; suspension / dormancy (of a silkworm prior to moulting)
橋,はし,bridge
兄,あに,elder brother; older brother
兄弟,きょうだい,siblings; brothers and sisters / brothers / siblings-in-law; brothers-in-law; sisters-in-law / mate; friend
警官,けいかん,police officer; policeman; constable
玄関,げんかん,entrance; front door; entryway; entranceway; entry hall; vestibule; porch; foyer; mud room
今週,こんしゅう,this week
歯,は,tooth
図書館,としょかん,library
静か,しずか,quiet; silent / slow; unhurried / calm; peaceful
先週,せんしゅう,last week; the week before
大きな,おおきな,big; large; great
地下鉄,ちかてつ,underground train; subway
地図,ちず,map
池,いけ,pond
肉,にく,flesh / meat / the physical body (as opposed to the spirit) / thickness / ink pad
飛行機,ひこうき,aeroplane; airplane; aircraft
文章,ぶんしょう,writing; composition; essay; article; prose; (writing) style / sentence
毎週,まいしゅう,every week
卵,たまご,eggs; egg; spawn; roe / hen egg / (an expert) in the making / beginning; origin; infancy
留学生,りゅうがくせい,overseas student; exchange student
入口,いりぐち,entrance; entry; gate; approach; mouth
毎月,まいげつ,every month; each month; monthly
明日,みょうにち,tomorrow / near future
お茶,おちゃ,tea (usu. green) / tea break (at work) / tea ceremony
医者,いしゃ,(medical) doctor; physician
皆さん,みなさん,all; everyone; everybody
角,かど,"corner (e.g. desk, pavement) / edge"
勤める,つとめる,to work (for); to be employed (at); to serve (in) / to serve (as); to act (as); to fill (the position of); to play the role (of) / to conduct a religious service
靴,くつ,shoes; boots; footwear; footgear
元気,げんき,lively; full of spirit; energetic; vigorous; vital; spirited / healthy; well; fit; in good health
後ろ,うしろ,back; behind; rear
四つ,よっつ,four / four years of age / ten o'clock (old time system) / cross grips
取る,とる,"to take; to pick up; to harvest; to earn; to win; to choose / to steal / to eat; to have (a meal) / to remove (one's glasses, etc.) / to compete (in sumo, cards, etc.); to play"
女の子,おんなのこ,girl; daughter / young woman
大丈夫,だいじょうぶ,safe; secure; sound; problem-free; without fear; all right; alright; OK; okay / certainly; surely; undoubtedly / no thanks; I'm good; that's alright / great man; fine figure of a man
庭,にわ,garden; yard; courtyard / field (of action); area
天気,てんき,weather; the elements / fair weather; fine weather
便利,べんり,convenient; handy; useful
妹,いもうと,younger sister
来週,らいしゅう,next week
立派,りっぱ,splendid; fine; handsome; elegant; imposing; prominent / praiseworthy; creditable; worthy / legal; legitimate; lawful / undeniable (e.g. crime); indisputable; solid
塩,しお,"salt (i.e. sodium chloride); common salt; table salt / salt (e.g. sodium chloride, calcium sulfate, etc.) / hardship; toil; trouble / saltiness"
買い物,かいもの,shopping; purchased goods
どの,何の,which; what (way)
お父さん,おとうさん,father; dad; papa; pa; pop; daddy; dada / husband
階段,かいだん,stairs; stairway; staircase
漢字,かんじ,Chinese characters; kanji
机,つくえ,desk
戸,と,door (esp. Japanese-style) / shutter; window shutter / entrance (to a home) / narrows
今,いま,now; the present time; just now; soon; immediately; (one) more
姉,あね,older sister; elder sister
時計,とけい,watch; clock; timepiece
台所,だいどころ,kitchen / financial situation
男の子,おとこのこ,boy; male child; baby boy
難しい,むずかしい,"difficult; hard; troublesome; complicated; serious (disease, problem, etc.) / fussy; particular; fastidious; hard to please; displeased / gloomy; glum; sullen; serious (look) / dirty; unclean; filthy; detestable / unpleasant; uncomfortable; creepy; spooky"
猫,ねこ,cat / shamisen / geisha / wheelbarrow / clay bed-warmer / bottom; submissive partner of a homosexual relationship
晩,ばん,evening / counter for nights
郵便局,ゆうびんきょく,post office
夕方,ゆうがた,evening; dusk
嫌,いや,disagreeable; detestable; unpleasant; reluctant
大きい,おおきい,big; large; great / loud / extensive; spacious / important; decisive; valuable / older; grown up
時々,ときどき,sometimes; at times
押す,おす,to push; to press / to apply pressure from above; to press down / to stamp (i.e. a passport); to apply a seal / to affix (e.g. gold leaf) / to press (someone for something); to urge; to compel; to influence / to overwhelm; to overpower; to repress / to push (events along); to advance (a plan) / to do in spite of ...; to do even though ...; to force / to make sure / to be pressed for time / to advance troops; to attack / (of light) to be diffused across an entire surface
牛肉,ぎゅうにく,beef
牛乳,ぎゅうにゅう,(cow's) milk
結構,けっこう,splendid; nice; wonderful; delicious; sweet / sufficient; fine (in the sense of "I'm fine"); (by implication) no thank you / well enough; OK; tolerable / quite; reasonably; fairly; tolerably / construction; architecture
きらい,嫌い,disliked; hated; disagreeable / tendency; smack (of); touch (of) / distinction; discrimination
高い,たかい,"high; tall / expensive; high-priced / high (level); above average (in degree, quality, etc.) / loud / high-pitched; shrill"
砂糖,さとう,sugar
持つ,もつ,to hold (in one's hand); to take; to carry / to possess; to have; to own / to maintain; to keep / to last; to be durable; to keep; to survive / to take charge of; to be in charge of
縦,たて,the vertical; height / front-to-back; length / north-to-south / vertical (relationship); hierarchy / (weaving) warp
出口,でぐち,exit; gateway; way out; outlet; leak; vent
食べ物,たべもの,food
食堂,しょくどう,dining room; dining hall; cafeteria; messroom / restaurant; eatery; snack bar; diner
新しい,あたらしい,new; novel; fresh; recent; latest; up-to-date; modern
切手,きって,stamp (postage); merchandise certificate
大好き,だいすき,loveable; very likeable; like very much
売る,うる,to sell
鼻,はな,nose
頼む,たのむ,to request; to beg; to ask / to call; to order; to reserve / to entrust to / to rely on
冷蔵庫,れいぞうこ,refrigerator
映画館,えいがかん,movie theatre; movie theater; cinema
果物,くだもの,fruit
荷物,にもつ,"luggage; baggage; package / burden / payload (of a packet, cell, etc.)"
五つ,いつつ,five
作文,さくぶん,"writing (an essay, prose, etc.); composition / formal writing with little real meaning"
洗濯,せんたく,washing; laundry / relaxing; taking a break
掃除,そうじ,cleaning; sweeping; dusting; scrubbing
朝,あさ,morning
帽子,ぼうし,hat; cap
明るい,あかるい,"light; well-lit; well-lighted / bright (of a colour); brightly-coloured; brightly-colored / cheerful; bright; spirited; sunny (e.g. disposition) / encouraging (for the future of a project, etc.); promising; of fair prospects / familiar (with); knowledgeable (about); well versed (in) / fair (e.g. politics); clean; impartial"
浴びる,あびる,"to dash over oneself (e.g. water); to take (e.g. shower); to bask in (e.g. the sun); to bathe in; to be flooded with (e.g. light); to be covered in / to suffer (e.g. an attack); to draw (e.g. criticism, attention, praise); to have heaped upon; to be showered with"
風邪,かぜ,common cold; cold; influenza; flu; ague
箱,はこ,"box; case; chest; package; pack; crate / car (of a train, etc.) / shamisen case; shamisen / public building; community building / man who carries a geisha's shamisen / receptacle for human waste; feces (faeces) / counter for boxes (or boxed objects)"
喫茶店,きっさてん,coffee shop; tearoom; coffee lounge; coffeehouse; cafe
去年,きょねん,last year
財布,さいふ,purse; handbag; wallet
散歩,さんぽ,walk; stroll
辞書,じしょ,dictionary; lexicon / letter of resignation
切符,きっぷ,ticket
走る,はしる,to run / to travel (movement of vehicles); to drive; to flow (e.g. energy) / to hurry to / to retreat (from battle); to take flight / to run away from home / to elope / to tend heavily toward / to flash; to streak; to shoot through (e.g. pain)
買う,かう,to buy; to purchase / to value; to have a high opinion / to stir; to provoke; to draw upon oneself
辺,へん,area; vicinity; region / side; edge / circumstances
廊下,ろうか,corridor; hallway; passageway
昨日,さくじつ,yesterday
いいえ,否,no; nay / well; er; why / you're welcome; not at all; don't mention it
降りる,おりる,"to descend (e.g. a mountain); to go down; to come down / to alight (e.g. from bus); to get off; to disembark; to dismount / to step down; to retire; to give up; to quit / to be granted; to be issued; to be given / to form (of frost, dew, mist, etc.) / to be passed (from the body; e.g. of a roundworm)"
傘,かさ,umbrella; parasol / something shaped like an umbrella or a conical hat; shade (of a lamp); mushroom cap; pileus
切る,きる,"to cut; to cut through; to perform (surgery) / to sever (connections, ties) / to turn off (e.g. the light) / to terminate (e.g. a conversation); to hang up (the phone); to disconnect / to punch (a ticket); to tear off (a stub) / to open (something sealed) / to start / to set (a limit); to do (something) in less or within a certain time; to issue (stamps, vouchers, etc.) / to reduce; to decrease; to discount / to shake off (water, etc.); to let drip-dry; to let drain / to cross; to traverse / to criticize sharply / to act decisively; to do (something noticeable); to go first; to make (certain facial expressions, in kabuki) / to turn (vehicle, steering wheel, etc.) / to curl (a ball); to bend; to cut / to shuffle (cards) / to discard a tile / to dismiss; to sack; to let go; to expulse; to excommunicate / to dig (a groove); to cut (a stencil, on a mimeograph) / to trump / to cut (the connection between two groups) (in go) / to start a fire (with wood-wood friction or by striking a metal against stone) / to draw (a shape) in the air (with a sword, etc.) / to finish; to complete"
渡す,わたす,to ferry across (e.g. a river); to carry across; to traverse / to lay across; to build across / to hand over; to hand in; to pass; to give; to transfer
封筒,ふうとう,envelope
毎朝,まいあさ,every morning
洋服,ようふく,Western-style clothes (cf. traditional Japanese clothes)
黄色,きいろ,yellow; amber
終わる,おわる,to finish; to end; to close
交差点,こうさてん,crossing; intersection
鉛筆,えんぴつ,pencil
止まる,とまる,"to stop (moving); to come to a stop / to stop (doing, working, being supplied); to come to a halt; to cease; to be stopped; to be suspended / to alight; to perch on"
出る,でる,"to leave; to exit; to go out; to come out; to get out / to leave (on a journey); to depart; to start out; to set out / to move forward / to come to; to get to; to lead to; to reach / to appear; to come out; to emerge; to surface; to come forth; to turn up; to be found; to be detected; to be discovered; to be exposed; to show; to be exhibited; to be on display / to appear (in print); to be published; to be announced; to be issued; to be listed; to come out / to attend; to participate; to take part; to enter (an event); to play in; to perform / to be stated; to be expressed; to come up; to be brought up; to be raised / to sell / to exceed; to go over / to stick out; to protrude / to break out; to occur; to start; to originate / to be produced / to come from; to be derived from / to be given; to get; to receive; to be offered; to be provided; to be presented; to be submitted; to be handed in; to be turned in; to be paid / to answer (phone, door, etc.); to get / to assume (an attitude); to act; to behave / to pick up (speed, etc.); to gain / to flow (e.g. tears); to run; to bleed / to graduate"
上手,じょうず,skillful; skilled; proficient; good (at); adept; clever / flattery
読む,よむ,to read / to count / to guess; to predict; to read (someone's thoughts); to see (e.g. into someone's heart); to divine
背広,せびろ,business suit
飲む,のむ,"to drink; to gulp; to swallow; to take (medicine) / to smoke (tobacco) / to engulf; to overwhelm / to keep down; to suppress / to accept (e.g. demand, condition) / to make light of; to conceal"
紅茶,こうちゃ,black tea
七つ,ななつ,seven
借りる,かりる,to borrow; to have a loan / to rent; to hire
宿題,しゅくだい,homework; assignment / pending issue; unresolved problem; open question
早い,はやい,"fast; quick; hasty; brisk / early (in the day, etc.); premature / (too) soon; not yet; (too) early / easy; simple; quick"
多分,たぶん,perhaps; probably / generous; many; much; great
誰,だれ,who
着る,きる,"to wear (in modern Japanese, from the shoulders down); to put on / to bear (guilt, etc.)"
張る,はる,to stick; to paste; to affix / to stretch; to spread; to strain; to tighten; to put up (tent) / to form (e.g. ice on a pond) / to fill; to swell / to stick out; to put; to slap / to be expensive / to keep a watch on; to be on the lookout / to become one tile away from completion / to span; to generate
眼鏡,めがね,glasses; eyeglasses; spectacles / judgment; judgement; discrimination; discernment; insight
歌う,うたう,"to sing / to sing (one's praises in a poem, etc.); to compose a poem; to recite a poem"
ください,下さい,please give me / please do for me
見る,みる,"to see; to look; to watch; to view; to observe / to look over; to look on; to assess; to examine; to judge / to look after; to keep an eye on; to take care of / to view (e.g. flowers, movie) / to try; to try out; to test / to see that...; to find that..."
赤い,あかい,red; crimson; scarlet; vermilion; vermillion / Red; communist / beautiful
低い,ひくい,"low (rank, degree, value, content, quality, etc.) / low (position); close to the ground / short (height) / deep (voice); in a low key; low (volume)"
閉まる,しまる,"to be shut; to close; to be closed / to be firm (of a body, face, etc.); to be well-knit / to be locked / to tighten; to be tightened / to become sober; to become tense"
熱い,あつい,"hot (thing) / passionate (feelings, etc.); ardent; hot (e.g. gaze) / hot (e.g. temper) / zealous; enthusiastic; fired up / intense; severe; extreme / hot (topic); of interest"
返す,かえす,to return (something); to restore; to put back / to turn over; to turn upside down; to overturn / to pay back; to retaliate; to reciprocate / to repeat ...; to do ... back
暇,ひま,spare time; free time; leisure / time (e.g. time it takes to do something) / time off; day off; vacation; holiday; leave / quitting (one's job); firing someone; divorcing (one's spouse) / (of one's time) free; (of one's business) slow / leaving; departing
茶碗,ちゃわん,rice bowl; tea cup; teacup
出かける,でかける,to go out (e.g. on an excursion or outing); to leave; to depart; to start; to set out / to be about to leave; to be just going out
わかる,分かる,to understand; to comprehend; to grasp; to see; to get; to follow / to become clear; to be known; to be discovered; to be realized; to be realised; to be found out
おまわりさん,お巡りさん,police officer
悪い,わるい,bad; poor; inferior / evil; sinful / unprofitable; unbeneficial / at fault; to blame; in the wrong / sorry
飴,あめ,"(hard) candy; toffee / rice-sugar; sugar made from the starch of rice, potatoes, etc. / amber; yellowish-brown"
安い,やすい,cheap; inexpensive / calm; peaceful; quiet
暗い,くらい,dark; gloomy; murky / depressed; dispirited; down in the dumps; dark (mood) / dark (in colour); dull / ill-boding; dark (e.g. past); suspicious / unlikely (to succeed); hopeless; unpromising / unfamiliar (with); ignorant (of)
やさしい,易しい,easy; plain; simple
椅子,いす,chair; stool / post; office; position
違う,ちがう,"to differ (from); to vary / to not be in the usual condition / to not match the correct (answer, etc.) / to be different from promised / isn't it?; wasn't it?"
一,いち,"one / best / first; foremost / beginning; start / ace (playing card) / bottom string (on a shamisen, etc.)"
泳ぐ,およぐ,to swim
遠い,とおい,"far; distant; far away; a long way off; in the distance / distant (past); remote (in time); remote; far-removed (in time) / distant (relationship or kinship); having little to do (with someone) / far (from something else in quality, degree, etc.); not similar; way off / hard (of hearing) / nearsighted"
汚い,きたない,"dirty; filthy; foul; unclean / disordered; messy; untidy; poor (e.g. handwriting) / indecent (language, etc.); dirty; vulgar; coarse / dastardly; mean; base; underhanded / stingy; greedy"
黄色い,きいろい,yellow / high-pitched (voice); shrill
下手,へた,unskillful; poor; awkward / imprudent; untactful
いつ,何時,when; how soon
火曜日,かようび,Tuesday
花瓶,かびん,(flower) vase
会う,あう,to meet; to encounter; to see / to have an accident; to have a bad experience
灰皿,はいざら,ashtray
覚える,おぼえる,to memorize; to memorise; to commit to memory; to learn by heart; to bear in mind; to remember / to learn; to pick up; to acquire / to feel / to think; to regard
楽しい,たのしい,enjoyable; fun; pleasant; happy; delightful
かかる,掛かる,"to take (a resource, e.g. time or money) / to hang / to come into view; to arrive / to come under (a contract, a tax) / to start (engines, motors) / to attend; to deal with; to handle / to have started to; to be on the verge of / to overlap (e.g. information in a manual); to cover / to (come) at / to be fastened / to be covered (e.g. with dust, a table-cloth, etc.) / to be caught in / to get a call / to depend on"
寒い,さむい,cold (e.g. weather) / uninteresting (esp. joke); lame; dull; weak; corny
甘い,あまい,sweet-tasting; sweet; sugary; sugared / fragrant (smelling); sweet (music) / lightly salted; light in salt; not spicy / naive; overly optimistic; soft on; generous; indulgent; easy-going; lenient / half-hearted; not finished properly / insufficient; not satisfactory; inadequate; loose / mild / tempting; enticing; luring
危ない,あぶない,dangerous; risky; hazardous; perilous; precarious / in danger; in jeopardy; critical; grave; at risk / uncertain; unreliable; insecure; unsteady; doubtful / close (i.e. a close call); narrow
いくつ,幾つ,how many? / how old?
いくら,幾ら,how much?; how many? / even; even if
帰る,かえる,to return; to come home; to go home; to go back / to leave / to get home; to get to home plate
起きる,おきる,to get up; to rise; to blaze up (fire) / to wake up; to be awake; to stay awake / to occur (usu. of unfavourable incidents); to happen; to take place
休む,やすむ,to be absent; to take a day off / to rest; to have a break / to go to bed; to (lie down to) sleep; to turn in; to retire / to stop doing some ongoing activity for a time; to suspend business
吸う,すう,to smoke; to breathe in; to inhale / to suck; to sip; to slurp / to absorb; to soak up / to kiss
強い,つよい,strong; potent; competent; domineering; tough / strong; brawny; powerful; healthy; rugged / good (at); skilled; knowledgeable / being able to handle; know how to deal (with); durable (against); resistant (to); resilient / firm; rigid; solid / intense; strong; fierce; high / dependable; trustworthy
教える,おしえる,to teach; to instruct / to tell; to inform / to preach
狭い,せまい,narrow; confined; small; cramped / limited; narrow-minded; confining
曲がる,まがる,to bend; to curve; to warp; to wind; to twist / to turn / to be awry; to be askew; to be crooked
近い,ちかい,near; close; short (distance) / close (in time); soon / close (relationship); friendly; intimate / closely related / similar; likeworthy; almost the same
九つ,ここのつ,nine
靴下,くつした,socks; sock; stockings; stocking
軽い,かるい,"light (i.e. not heavy); feeling light (i.e. offering little resistance, moving easily) / light (i.e. of foot); effortless; nimble; agile / non-serious; minor; unimportant; trivial / slight; small; gentle; soft; easy; lighthearted (e.g. joke) / easy; simple / indiscriminate"
こう,斯う,in this way; thus; such / uh...
アメリカ,亜米利加,America / United States of America
付く,つく,"to be attached; to be connected with; to adhere; to stick; to cling / to remain imprinted; to scar; to stain; to dye / to bear (fruit, interest, etc.) / to be acquired (of a habit, ability, etc.); to increase (of strength, etc.) / to take root / to accompany; to attend; to follow; to study with / to side with; to belong to / to possess; to haunt / to be lit; to be lighted / to be settled; to be resolved; to be decided / to be given (of a name, price, etc.) / to be sensed; to be perceived / to be lucky / to become (a state, condition, etc.)"
看護師,かんごし,(hospital) nurse; registered nurse; RN
アフリカ,阿弗利加,Africa
そんなに,,so much; so; like that
ああ,,like that (used for something or someone distant from both speaker and listener); so
ご覧になる,ごらんになる,to see; to look; to watch / to try to
あっ,,ah; oh / hey!
あじあ,亜細亜,Asia
サンダル,,sandal
スーツケース,,suitcase
スクリーン,,screen
ステーキ,,steak
チェック,,check; plaid; checkered / checking; monitoring; looking over; scrutinizing; inspecting / check (banking); cheque; bill (restaurant) / check (chess)
レジ,,(cash) register / cashier
降り出す,ふりだす,to begin to rain; to begin to snow
おいでになる,お出でになる,to be / to come / to go
おかげ,お蔭,grace (of God); benevolence (of Buddha); blessing / assistance; help; aid / effects; influence
お見舞い,おみまい,calling on someone who is ill; enquiry; inquiry
お祭り,おまつり,festival; feast; carnival
都,と,metropolitan; municipal
泳ぎ方,およぎかた,way of swimming
もうすぐ,もう直ぐ,soon; shortly; before long; nearly; almost
お金持ち,おかねもち,rich person
安全,あんぜん,safety; security
意見,いけん,opinion; view; comment
会議,かいぎ,meeting; conference; session; assembly; council; convention; congress
関係,かんけい,relation; relationship; connection / participation; involvement; concern / influence; effect / sexual relations; sexual relationship / related to; connected to
気,き,spirit; mind; heart / nature; disposition / motivation; intention / mood; feelings / ambience; atmosphere; mood
技術,ぎじゅつ,technology; engineering / technique; skill / art; craft
客,きゃく,guest; visitor / customer; client; shopper; spectator; audience; tourist; sightseer; passenger
教育,きょういく,education; schooling; training; instruction; teaching; upbringing / culture; cultivation; education
空港,くうこう,airport
形,かたち,form; shape; figure / visage
経済,けいざい,economics; business; finance; economy
警察,けいさつ,police / police officer / police station
研究,けんきゅう,study; research; investigation
原因,げんいん,cause; origin; source
光,ひかり,light / illumination; ray; beam; gleam; glow / happiness; hope / influence; power / vision; eyesight
高校,こうこう,senior high school; high school
国際,こくさい,international / diplomatic intercourse
最近,さいきん,recently; lately; these days; nowadays; right now / nearest; closest
最後,さいご,end; conclusion / last; final; latest; most recent / no sooner than; once; right after (often having negative consequences) / one's final moments
最初,さいしょ,beginning; outset; first; onset
妻,つま,wife / my dear; dear; honey / garnish (esp. one served with sashimi) / embellishment
産業,さんぎょう,industry / livelihood; occupation
子,こ,"child / young (animal) / young woman; young geisha / offshoot / interest / new shares / player who is not a dealer (in cards, mahjong, etc.) / bird egg / -er (often of young women)"
市民,しみん,citizen; citizenry; public / city inhabitant; townspeople / bourgeoisie; middle class
試合,しあい,match; game; bout; contest
事故,じこ,accident; incident; trouble / circumstances; reasons
事務所,じむしょ,office
時代,じだい,period; epoch; era; age / the times; those days / oldness; ancientness; antiquity / antique; period piece
自由,じゆう,freedom; liberty; as it pleases you
社会,しゃかい,society; public; community; the world / social studies
社長,しゃちょう,company president; manager; director
十分,じゅうぶん,enough; sufficient; plenty; adequate; satisfactory / sufficiently; fully; thoroughly; well; perfectly / division into ten
女性,じょせい,woman; female / feminine gender
将来,しょうらい,future (usually near); prospects
場所,ばしょ,place; location; spot; position / room; space / basho; wrestling tournament
人口,じんこう,population / common talk
世界,せかい,the world; society; the universe / sphere; circle; world / renowned; world-famous; well-known outside of Japan / realm governed by one Buddha; space
政治,せいじ,politics; government
生活,せいかつ,living; life (one's daily existence); livelihood
生産,せいさん,production; manufacture
戦争,せんそう,war
男性,だんせい,man; male / masculine gender
特に,とくに,particularly; especially
特別,とくべつ,special; particular; extraordinary; exceptional; especial
反対,はんたい,opposition; resistance; antagonism; hostility; objection; dissent / reverse; opposite; inverse; contrary
番組,ばんぐみ,program (e.g. TV); programme
必要,ひつよう,necessary; needed; essential; indispensable / necessity; need; requirement
夫,おっと,husband
部長,ぶちょう,"head (chief, director) of a section or department / head of a (school) club; head of a (school) team"
文化,ぶんか,culture; civilization; civilisation / Bunka era (1804.2.11-1818.4.22)
貿易,ぼうえき,trade (foreign)
予定,よてい,plans; arrangement; schedule; program; programme; expectation; estimate
理由,りゆう,reason; pretext; motive
歴史,れきし,history
工場,こうじょう,factory; plant; mill; workshop
行う,おこなう,to perform; to do; to conduct oneself; to carry out
気持ち,きもち,feeling; sensation; mood / preparedness; readiness; attitude / thanks; solicitude; sympathy / just a little; somewhat; slightly
以内,いない,within; inside of; less than
医学,いがく,medical science; medicine
科学,かがく,science
火,ひ,fire; flame; blaze
課長,かちょう,section manager; section chief
会場,かいじょう,assembly hall; meeting place; venue; grounds
簡単,かんたん,simple; easy; uncomplicated / brief; quick; light
危険,きけん,danger; peril; hazard / risk
機会,きかい,chance; opportunity
競争,きょうそう,competition; contest; rivalry; race / competition (between organisms or species)
交通,こうつう,"traffic; transportation; communication; exchange (of ideas, etc.); intercourse"
工業,こうぎょう,(manufacturing) industry
今度,こんど,this time; now / next time; another time; shortly; soon / recently; previous; last
試験,しけん,examination; exam; test / trial; experiment; test
寺,てら,temple (Buddhist)
森,もり,forest / shrine grove
親,おや,"parent; parents; mother and father / dealer (in cards, mahjong, etc.); banker / founder; inventor / (pet) owner / key; parent (organization); main / ancestor; forefather"
昔,むかし,olden days; former
説明,せつめい,explanation; exposition
地震,じしん,earthquake
島,しま,"island / territory (of a prostitute, organized crime gang, etc.); turf"
彼女,かのじょ,she; her / girlfriend
比べる,くらべる,to compare; to make a comparison / to compete; to vie
普通,ふつう,general; ordinary; usual / normally; generally; usually / local train; train that stops at every station
文学,ぶんがく,literature
壁,かべ,wall; partition / barrier; obstacle / Chinese "Wall" constellation (one of the 28 mansions)
法律,ほうりつ,law
夢,ゆめ,dream
娘,むすめ,"(my) daughter / girl (i.e. a young, unmarried woman)"
利用,りよう,use; utilization; utilisation; application
林,はやし,woods; forest; copse; thicket / bunch; line (of something); collection
例えば,たとえば,for example; for instance; e.g.
連絡,れんらく,to contact; to get in touch / contacting; getting in touch; communication; call; message / connection; coordination; junction / intercalary; intercalaris; internuncial
音,おと,sound; noise; report / note / fame / Chinese-derived character reading
途中,とちゅう,on the way; en route / in the middle of; midway
選ぶ,えらぶ,to choose; to select
思う,おもう,to think; to consider; to believe / to think (of doing); to plan (to do) / to judge; to assess; to regard / to imagine; to suppose; to dream / to expect; to look forward to / to feel; to be (in a state of mind); to desire; to want / to recall; to remember
確か,たしか,sure; certain; positive; definite / reliable; trustworthy; safe; sound; firm; accurate; correct; exact / If I'm not mistaken; If I remember correctly; If I remember rightly
気分,きぶん,feeling; mood
急,きゅう,sudden; abrupt; unexpected / urgent; pressing / steep; sharp; precipitous / rapid; swift; fast / emergency; crisis; danger / urgency; hurrying; haste / (in gagaku or noh) end of a song
空気,くうき,air; atmosphere / mood; situation / someone with no presence; someone who doesn't stand out at all
決して,けっして,never; by no means; not in the least; in no way
血,ち,blood; consanguinity
校長,こうちょう,principal; headmaster
高校生,こうこうせい,senior high school student
残念,ざんねん,deplorable; regrettable; disappointing; vexing; unfortunate
住所,じゅうしょ,address (e.g. of house); residence; domicile
小学校,しょうがっこう,primary school; elementary school; grade school
小説,しょうせつ,novel; (short) story
息子,むすこ,son / penis
卒業,そつぎょう,graduation; completion (e.g. of a course) / outgrowing something; moving on (from)
日,ひ,day; days / sun; sunshine; sunlight / case (esp. unfortunate); event
美術館,びじゅつかん,art gallery; art museum
必ず,かならず,always; without exception; necessarily; certainly; without fail; positively; invariably
複雑,ふくざつ,complex; complicated; mixed (feelings)
変わる,かわる,to change; to be transformed; to be altered; to vary / to move to / to be different; to be uncommon; to be unusual
味,あじ,flavor; flavour; taste / charm; style / experience / smart; clever; witty; strange
代わり,かわり,substitute; replacement; substituting; replacing / stand-in; proxy; alternate; deputy; relief; successor / compensation; exchange; return / second helping; another cup; seconds / upcoming program; upcoming programme
首,くび,neck / head / dismissal; discharge; firing (from a job)
割合,わりあい,rate; ratio; percentage; proportion / comparatively / contrary to expectations
以下,いか,not exceeding; and downward; ... and below / below (e.g. standard); under (e.g. a level) / the below-mentioned; the following; the rest
運転手,うんてんしゅ,driver; chauffeur
会話,かいわ,conversation
楽しみ,たのしみ,enjoyment; pleasure; diversion; amusement; hobby / anticipation; looking forward to
季節,きせつ,season; time of year
興味,きょうみ,interest (in something); curiosity (about something); zest (for)
港,みなと,harbour; harbor; port
郊外,こうがい,suburb; outskirts
失敗,しっぱい,failure; mistake; blunder
生きる,いきる,"to live; to exist / to make a living; to subsist / to be in effect; to be in use; to function / to come to life; to be enlivened / to be safe (in baseball, go, etc.)"
席,せき,"seat / location (of a gathering, etc.); place / position; post"
線,せん,line; stripe; stria / line (e.g. telephone line); wire / ray (e.g. X-ray); beam / line (e.g. of a railroad); track; route; lane / outline; contours; form / level / division / line (of action); position; approach; policy; principle / impression one leaves; air one gives off
中学校,ちゅうがっこう,junior high school; middle school; lower secondary school
注意,ちゅうい,caution; being careful; attention (heed); warning; advice
答え,こたえ,answer; reply; response; solution
入院,にゅういん,hospitalization; hospitalisation
入学,にゅうがく,"entry to school or university; matriculation; enrolment (in university, etc.) (enrollment)"
遊び,あそび,"playing / play (margin between on and off, gap before pressing button or lever has an effect)"
葉,は,leaf; blade (of grass); (pine) needle
一度,いちど,once; one time; on one occasion / temporarily; for a moment / one degree; one tone; one musical interval
仕方,しかた,way; method; means; resource; course
台風,たいふう,typhoon; hurricane
値段,ねだん,price; cost
